Feature,Normal_N,Delayed_N,Normal_Mean,Delayed_Mean,U,P_Value,Effect_Size,Adjusted_P,Significant,Absolute_Effect_Size
gradient_firstorder_Mean,190,12,18.52029960319481,40.23314525014416,224.0,3.137847072358987e-06,-0.8035087719298246,7.865261411636671e-06,True,0.8035087719298246
gradient_glcm_JointEnergy,190,12,0.5935489468907673,0.2572498803829751,2055.5,3.176875776605055e-06,0.8030701754385965,7.911043600565528e-06,True,0.8030701754385965
square_glcm_Id,190,12,0.9303331227365996,0.73724765288913,2055.0,3.216422826962756e-06,0.8026315789473684,7.957513617355908e-06,True,0.8026315789473684
gradient_glcm_JointEntropy,190,12,1.2460123543088475,2.905936354333396,226.5,3.337807449875785e-06,-0.8013157894736842,8.148754053504388e-06,True,0.8013157894736842
glcm_SumSquares,190,12,15.671808391405676,5.111515632717066,2053.0,3.379273334524129e-06,0.8008771929824561,8.148754053504388e-06,True,0.8008771929824561
shape2D_Sphericity,190,12,0.4831845041394175,0.7604189556949287,227.0,3.379273334524129e-06,-0.8008771929824561,8.148754053504388e-06,True,0.8008771929824561
gradient_firstorder_90Percentile,190,12,36.82489984386846,85.93298688928287,227.0,3.379273334524129e-06,-0.8008771929824561,8.148754053504388e-06,True,0.8008771929824561
gradient_glcm_MaximumProbability,190,12,0.7419574753691991,0.3841817572551227,2052.5,3.421176929883681e-06,0.8004385964912282,8.196552903660495e-06,True,0.8004385964912282
logarithm_glcm_JointEntropy,190,12,4.66556347610484,2.916253698398148,2052.0,3.463635216507453e-06,0.8,8.196552903660495e-06,True,0.8
logarithm_firstorder_MeanAbsoluteDeviation,190,12,174.5127814751974,63.43675966459647,2052.0,3.463635216507453e-06,0.8,8.196552903660495e-06,True,0.8
gradient_firstorder_InterquartileRange,190,12,15.903569938634572,39.019154166181885,230.0,3.638457161018976e-06,-0.7982456140350878,8.452757185050182e-06,True,0.7982456140350878
gradient_firstorder_RobustMeanAbsoluteDeviation,190,12,6.821840370977435,17.04619098214148,230.0,3.638457161018976e-06,-0.7982456140350878,8.452757185050182e-06,True,0.7982456140350878
gradient_firstorder_MeanAbsoluteDeviation,190,12,10.62491683630136,24.65672892332701,230.0,3.638457161018976e-06,-0.7982456140350878,8.452757185050182e-06,True,0.7982456140350878
squareroot_firstorder_InterquartileRange,190,12,250.1099796321108,74.65020567879951,2049.0,3.72901011449848e-06,0.7973684210526315,8.61062335529649e-06,True,0.7973684210526315
gradient_glcm_SumSquares,190,12,0.3368894476299982,1.565897334994255,231.5,3.77506225856608e-06,-0.7969298245614035,8.664450123576362e-06,True,0.7969298245614035
squareroot_glcm_JointEntropy,190,12,5.16382614756866,3.458930306174718,2046.0,4.013815443279772e-06,0.7947368421052632,9.111436670664164e-06,True,0.7947368421052632
wavelet-H_glcm_DifferenceAverage,190,12,0.2596222817366191,0.8612059037988186,235.0,4.113266356650732e-06,-0.793859649122807,9.111436670664164e-06,True,0.793859649122807
wavelet-H_glcm_Contrast,190,12,0.2596568541031405,1.6581931022679124,235.0,4.113299494368074e-06,-0.793859649122807,9.111436670664164e-06,True,0.793859649122807
square_firstorder_Minimum,190,12,0.023386137254082,9.230603102219028,235.0,4.113299494368074e-06,-0.793859649122807,9.111436670664164e-06,True,0.793859649122807
wavelet-H_glcm_Idm,190,12,0.8701923163683425,0.6400197420162953,2045.0,4.113299494368074e-06,0.7938596491228069,9.111436670664164e-06,True,0.7938596491228069
wavelet-H_glcm_Id,190,12,0.8701933065301573,0.6608970825939263,2045.0,4.113299494368074e-06,0.7938596491228069,9.111436670664164e-06,True,0.7938596491228069
gradient_firstorder_Median,190,12,14.945832480882345,30.849438399076465,236.0,4.215144098086355e-06,-0.7929824561403509,9.283063013704632e-06,True,0.7929824561403509
gradient_firstorder_Variance,190,12,219.06009240682343,1117.606312681013,238.0,4.426129332033834e-06,-0.7912280701754386,9.581564065368697e-06,True,0.7912280701754386
square_glcm_InverseVariance,190,12,0.1378760750096453,0.4082180848600492,238.0,4.426129332033834e-06,-0.7912280701754386,9.581564065368697e-06,True,0.7912280701754386
wavelet-H_glcm_Correlation,190,12,0.472611823558312,-0.1710383643701717,2042.0,4.426129332033834e-06,0.7912280701754386,9.581564065368697e-06,True,0.7912280701754386
logarithm_glcm_JointEnergy,190,12,0.0896529586571317,0.2760729468557066,239.0,4.535380011278754e-06,-0.7903508771929825,9.707751597175309e-06,True,0.7903508771929825
wavelet-L_firstorder_MeanAbsoluteDeviation,190,12,112.30886207326662,57.57852221646332,2041.0,4.535380011278754e-06,0.7903508771929824,9.707751597175309e-06,True,0.7903508771929824
wavelet-L_firstorder_Variance,190,12,19531.495522386573,7104.815993271011,2036.0,5.121522303765797e-06,0.7859649122807018,1.090111730578083e-05,True,0.7859649122807018
firstorder_MeanAbsoluteDeviation,190,12,79.42084652027903,40.906060861218734,2035.0,5.247152018989482e-06,0.7850877192982457,1.1106471773527737e-05,True,0.7850877192982457
firstorder_RobustMeanAbsoluteDeviation,190,12,58.70700674154727,26.947244716743104,2034.0,5.375729329522196e-06,0.7842105263157895,1.1315761737834016e-05,True,0.7842105263157895
firstorder_InterquartileRange,190,12,140.25893924318004,62.67458188622263,2033.0,5.507319981736512e-06,0.7833333333333334,1.1529059961767094e-05,True,0.7833333333333334
gradient_glcm_ClusterTendency,190,12,1.2933584614301143,5.111982234603103,251.5,6.138553586047514e-06,-0.7793859649122807,1.2780267302098924e-05,True,0.7793859649122807
squareroot_glcm_Id,190,12,0.8310934761817621,0.712077422791025,2027.0,6.364003550432486e-06,0.7780701754385966,1.3177637786493351e-05,True,0.7780701754385966
wavelet-L_firstorder_RobustMeanAbsoluteDeviation,190,12,82.40094036423002,37.96624240651189,2026.0,6.51864812129998e-06,0.7771929824561403,1.3352714700082218e-05,True,0.7771929824561403
wavelet-H_glcm_InverseVariance,190,12,0.2596044471739908,0.4914635367244566,254.0,6.51864812129998e-06,-0.7771929824561403,1.3352714700082218e-05,True,0.7771929824561403
firstorder_Variance,190,12,9767.063214544976,3616.017886303071,2023.0,7.00444889944116e-06,0.774561403508772,1.4271096420786536e-05,True,0.774561403508772
wavelet-H_firstorder_Median,190,12,0.0138583181259351,-3.162518072439509,2020.0,7.52419172044384e-06,0.7719298245614035,1.51678150554979e-05,True,0.7719298245614035
wavelet-H_firstorder_Minimum,190,12,-8.773143266278629,-40.26390818717071,2016.0,8.276249736022889e-06,0.7684210526315789,1.659605868118274e-05,True,0.7684210526315789
squareroot_glcm_Idm,190,12,0.82423513129331,0.6939250222751739,2014.0,8.678386262877752e-06,0.7666666666666666,1.7043634877094967e-05,True,0.7666666666666666
square_glcm_ClusterTendency,190,12,13.33797539869909,4.3400860827603625,2014.0,8.678386262877752e-06,0.7666666666666666,1.7043634877094967e-05,True,0.7666666666666666
squareroot_firstorder_Kurtosis,190,12,1.9305608377748096,6.296435333239628,266.0,8.678386262877752e-06,-0.7666666666666666,1.7043634877094967e-05,True,0.7666666666666666
wavelet-L_firstorder_InterquartileRange,190,12,198.35178529478543,87.50568605277472,2014.0,8.678386262877752e-06,0.7666666666666666,1.7043634877094967e-05,True,0.7666666666666666
gradient_glcm_Id,190,12,0.9729791557449784,0.7547027978304485,2007.5,1.011822993202769e-05,0.7609649122807018,1.917933136369428e-05,True,0.7609649122807018
gradient_glcm_Idm,190,12,0.9729712737159864,0.7373093249689533,2007.5,1.011822993202769e-05,0.7609649122807018,1.917933136369428e-05,True,0.7609649122807018
gradient_glcm_DifferenceVariance,190,12,0.0506226979813498,0.6026567618486763,272.5,1.011822993202769e-05,-0.7609649122807017,1.917933136369428e-05,True,0.7609649122807017
gradient_glcm_DifferenceEntropy,190,12,0.2946376755897119,1.2417015534545788,272.5,1.011822993202769e-05,-0.7609649122807017,1.917933136369428e-05,True,0.7609649122807017
gradient_glcm_DifferenceAverage,190,12,0.0540810986550022,0.6255358806666466,272.5,1.011822993202769e-05,-0.7609649122807017,1.917933136369428e-05,True,0.7609649122807017
gradient_glcm_Contrast,190,12,0.0541993290898781,1.1516071053739187,272.5,1.011822993202769e-05,-0.7609649122807017,1.917933136369428e-05,True,0.7609649122807017
gradient_glcm_InverseVariance,190,12,0.0539776470244859,0.3385737189861134,272.5,1.011822993202769e-05,-0.7609649122807017,1.917933136369428e-05,True,0.7609649122807017
wavelet-H_firstorder_Mean,190,12,-0.0008012074075384,-2.7453403020981444,2002.0,1.1512326820994602e-05,0.7561403508771929,2.1713844152470016e-05,True,0.7561403508771929
firstorder_Skewness,190,12,-0.0665728970451645,-1.1600054701387528,2001.0,1.1784736347540728e-05,0.7552631578947369,2.211815048479319e-05,True,0.7552631578947369
wavelet-H_firstorder_Range,190,12,17.223638106780072,85.84574804008464,280.0,1.206329164204376e-05,-0.7543859649122807,2.252997115499349e-05,True,0.7543859649122807
wavelet-L_glcm_Idmn,190,12,0.9991547414087268,0.9817065518944976,1998.0,1.2639367237188728e-05,0.7526315789473683,2.349072642618978e-05,True,0.7526315789473683
firstorder_Maximum,190,12,184.5839486337437,157.7950832448686,1995.0,1.3552942064824726e-05,0.75,2.5066363721836023e-05,True,0.75
wavelet-H_glcm_Idn,190,12,0.914051769673902,0.8526165770763691,1986.0,1.6686885510634734e-05,0.7421052631578948,3.0713542896385666e-05,True,0.7421052631578948
square_firstorder_Kurtosis,190,12,5.396674588555894,2.52181948073587,1985.0,1.7074943941921836e-05,0.7412280701754386,3.127670020130875e-05,True,0.7412280701754386
Entropy,190,12,0.5583795589847604,0.1301893167318988,1984.0,1.7471592693551762e-05,0.7403508771929825,3.185012830738384e-05,True,0.7403508771929825
gradient_firstorder_10Percentile,190,12,4.5604760320563065,8.264624872306984,298.0,1.8290100226955325e-05,-0.7385964912280703,3.302851670841412e-05,True,0.7385964912280703
